2022-10-21 09:13:45.762 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 2104 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-21 09:13:45.763 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-21 09:13:48.881 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.411 seconds (JVM running for 3.844)
2022-10-21 09:14:44.909 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 3736 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-21 09:14:44.910 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-21 09:14:47.755 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.091 seconds (JVM running for 3.429)
2022-10-21 09:15:19.163 [http-nio-8080-exec-5] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-21 09:15:19.633 [http-nio-8080-exec-5] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-10-21 09:16:14.318 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 10188 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-21 09:16:14.318 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-21 09:16:17.159 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.083 seconds (JVM running for 3.424)
2022-10-21 09:16:45.194 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 21836 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-21 09:16:45.195 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-21 09:16:45.469 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 21280 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-21 09:16:45.470 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-21 09:16:49.277 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 4.108 seconds (JVM running for 4.559)
2022-10-21 09:16:49.330 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 4.491 seconds (JVM running for 5.44)
2022-10-21 09:16:51.902 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 22268 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-21 09:16:51.903 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-21 09:16:54.739 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.083 seconds (JVM running for 3.433)
2022-10-21 09:17:14.759 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 14552 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-21 09:17:14.759 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-21 09:17:17.664 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.146 seconds (JVM running for 3.5)
