2022-10-07 16:16:54.415 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 17892 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-07 16:16:54.416 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-07 16:17:00.971 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 6.992 seconds (JVM running for 12.906)
2022-10-07 16:17:09.506 [http-nio-8080-exec-1] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-07 16:17:24.785 [http-nio-8080-exec-4] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 16:22:51.156 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 2240 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-07 16:22:51.157 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-07 16:22:56.448 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 5.795 seconds (JVM running for 6.512)
2022-10-07 16:22:57.050 [http-nio-8080-exec-2] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-07 16:23:04.604 [http-nio-8080-exec-3] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 16:26:32.570 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 4868 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-07 16:26:32.572 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-07 16:26:37.343 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 5.126 seconds (JVM running for 5.688)
2022-10-07 16:26:42.177 [http-nio-8080-exec-2] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-07 16:26:49.327 [http-nio-8080-exec-3] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 19:56:53.687 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 9384 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-07 19:56:53.687 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-07 19:56:57.123 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.732 seconds (JVM running for 4.208)
2022-10-07 20:01:40.031 [http-nio-8080-exec-1] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-07 20:04:40.375 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 3732 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-07 20:04:40.376 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-07 20:04:43.488 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.415 seconds (JVM running for 3.87)
2022-10-07 20:05:07.155 [http-nio-8080-exec-2] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-07 20:05:15.003 [http-nio-8080-exec-3] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 20:05:15.031 [http-nio-8080-exec-3] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserByLogin(CharArtPav)
2022-10-07 20:18:25.939 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 20460 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-07 20:18:25.940 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-07 20:18:29.071 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.408 seconds (JVM running for 3.929)
2022-10-07 20:18:45.191 [http-nio-8080-exec-1] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-07 20:19:02.402 [http-nio-8080-exec-3] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 20:19:02.428 [http-nio-8080-exec-3] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserByLogin(CharArtPav)
2022-10-07 20:19:16.121 [http-nio-8080-exec-4] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 20:19:16.140 [http-nio-8080-exec-4] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserByLogin(CharArtPav)
2022-10-07 20:20:02.043 [http-nio-8080-exec-5] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 20:20:02.061 [http-nio-8080-exec-5] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserByLogin(CharArtPav)
2022-10-07 20:22:26.103 [http-nio-8080-exec-8] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 20:22:26.121 [http-nio-8080-exec-8] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserByLogin(CharArtPav)
2022-10-07 20:25:12.272 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 16988 (C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in C:\CastOfProjectFolder\Резервная копия\Project_on_Java\Microservice\authentication)
2022-10-07 20:25:12.273 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-07 20:25:15.499 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.463 seconds (JVM running for 3.842)
2022-10-07 20:25:25.496 [http-nio-8080-exec-1] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_loadUserByUsername(CharArtPav)
2022-10-07 20:25:38.502 [http-nio-8080-exec-4] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 20:25:38.540 [http-nio-8080-exec-4] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserByLogin(CharArtPav)
2022-10-07 20:29:26.463 [http-nio-8080-exec-7] INFO  com.converter.converter.auth.jwt.JwtTools - Start method ValidityTokenTime
2022-10-07 20:29:26.492 [http-nio-8080-exec-7] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserByLogin(CharArtPav)
