2022-06-22 16:10:38.080 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 18132 (D:\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 16:10:38.081 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-22 16:10:42.065 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 4.262 seconds (JVM running for 4.911)
2022-06-22 16:10:52.236 [http-nio-8080-exec-1] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 16:32:09.222 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 18752 (D:\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 16:32:09.222 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-22 16:32:11.858 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 2.875 seconds (JVM running for 3.214)
2022-06-22 16:32:39.807 [http-nio-8080-exec-3] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 16:34:10.843 [main] INFO  com.converter.converter.auth.UserServiceTest - Starting UserServiceTest using Java 18 on kftnb-77 with PID 19928 (started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 16:34:10.843 [main] INFO  com.converter.converter.auth.UserServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-06-22 16:34:13.656 [main] INFO  com.converter.converter.auth.UserServiceTest - Started UserServiceTest in 2.981 seconds (JVM running for 4.209)
2022-06-22 16:34:14.056 [main] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 16:37:13.929 [main] INFO  com.converter.converter.auth.UserServiceTest - Starting UserServiceTest using Java 18 on kftnb-77 with PID 22856 (started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 16:37:13.929 [main] INFO  com.converter.converter.auth.UserServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-06-22 16:37:16.677 [main] INFO  com.converter.converter.auth.UserServiceTest - Started UserServiceTest in 2.88 seconds (JVM running for 3.529)
2022-06-22 16:37:17.034 [main] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 16:38:33.609 [main] INFO  com.converter.converter.auth.UserServiceTest - Starting UserServiceTest using Java 18 on kftnb-77 with PID 15128 (started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 16:38:33.609 [main] INFO  com.converter.converter.auth.UserServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-06-22 16:38:36.388 [main] INFO  com.converter.converter.auth.UserServiceTest - Started UserServiceTest in 2.921 seconds (JVM running for 3.566)
2022-06-22 16:38:36.755 [main] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 16:39:10.716 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 22532 (D:\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 16:39:10.717 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-22 16:39:13.351 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 2.877 seconds (JVM running for 3.233)
2022-06-22 16:39:17.370 [http-nio-8080-exec-1] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 16:59:26.962 [main] INFO  com.converter.converter.auth.UserServiceTest - Starting UserServiceTest using Java 18 on kftnb-77 with PID 6972 (started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 16:59:26.996 [main] INFO  com.converter.converter.auth.UserServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-06-22 16:59:29.902 [main] INFO  com.converter.converter.auth.UserServiceTest - Started UserServiceTest in 3.108 seconds (JVM running for 3.84)
2022-06-22 16:59:30.262 [main] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 16:59:30.321 [main] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 17:03:03.895 [main] INFO  com.converter.converter.auth.UserServiceTest - Starting UserServiceTest using Java 18 on kftnb-77 with PID 22672 (started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-22 17:03:03.896 [main] INFO  com.converter.converter.auth.UserServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-06-22 17:03:06.638 [main] INFO  com.converter.converter.auth.UserServiceTest - Started UserServiceTest in 2.876 seconds (JVM running for 3.537)
2022-06-22 17:03:07.004 [main] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 17:03:07.065 [main] INFO  c.converter.converter.auth.service.UserServiceImpl - Start_Method_findUserById(1)
2022-06-22 17:03:41.889 [main] INFO  com.converter.converter.auth.UserServiceTest - Starting UserServiceTest using Java 18 on kftnb-77 with PID 22628 (started by a.charykov in D:\Project_on_Java\Microservice\authentication)
